name,code,description,category,price,attributes
Dell XPS 15,DELL-XPS15-001,15.6 inch laptop with Intel Core i7 and OLED display,Laptops,1899.99,"{""CPU"": ""Intel i7-13700H"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""15.6 OLED"", ""GPU"": ""NVIDIA RTX 4060""}"
HP Spectre x360,HP-SPEC-X360,Convertible laptop 13.5 inch touchscreen,Laptops,1499.00,"{""CPU"": ""Intel i5-1335U"", ""RAM"": ""16GB"", ""Storage"": ""256GB SSD"", ""Display"": ""13.5 OLED touch""}"
Lenovo ThinkPad X1 Carbon,LEN-X1C-G11,Ultra-thin business laptop 14 inch,Laptops,1749.00,"{""CPU"": ""Intel i7-1365U"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""14 IPS""}"
Asus ROG Zephyrus G14,ASUS-ROG-G14,Gaming laptop AMD Ryzen 9,Laptops,1649.00,"{""CPU"": ""AMD Ryzen 9 7940HS"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""14 QHD 165Hz"", ""GPU"": ""NVIDIA RTX 4060""}"
Apple MacBook Pro 14,APPLE-MBP14-M3,MacBook Pro with M3 chip,Laptops,2199.00,"{""CPU"": ""Apple M3 Pro"", ""RAM"": ""18GB"", ""Storage"": ""512GB SSD"", ""Display"": ""14.2 Liquid Retina XDR""}"
Microsoft Surface Laptop 5,MS-SL5-13,Slim laptop with touchscreen,Laptops,1299.00,"{""CPU"": ""Intel i5-1245U"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""13.5 touch""}"
Acer Predator Helios 300,ACER-PH300,Gaming laptop with RTX 4070,Laptops,1549.00,"{""CPU"": ""Intel i7-13700HX"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""15.6 FHD 165Hz"", ""GPU"": ""NVIDIA RTX 4070""}"
Lenovo IdeaPad 5 Pro,LEN-IP5P-16,Creative laptop 16 inch 2.5K display,Laptops,999.00,"{""CPU"": ""AMD Ryzen 7 6800H"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""16 2.5K IPS""}"
Dell Inspiron 15,DELL-INS15-3530,Everyday laptop for home and office,Laptops,699.00,"{""CPU"": ""Intel i5-1335U"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""15.6 FHD""}"
HP EliteBook 840 G10,HP-EB840-G10,Business laptop with enterprise security,Laptops,1599.00,"{""CPU"": ""Intel i7-1365U"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""14 IPS""}"
